timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650009673782,49,Cart-218,200,OK,AddToCart 4-4,text,true,,5843,510,5,5,https://www.demoblaze.com/cart.html,45,0,0
1650009673632,255,Cart-225,200,OK,AddToCart 4-3,text,true,,449,480,5,5,https://api.demoblaze.com/viewcart,255,0,0
1650009673581,306,Cart,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-3,,true,,6428,990,5,5,null,301,1,0
1650009673629,260,Delete1-255,200,OK,AddToCart 4-1,text,true,,449,480,5,5,https://api.demoblaze.com/viewcart,260,0,0
1650009673056,829,Delete1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-1,,true,,7600,1937,5,5,null,825,4,0
1650009673805,250,Item3-156,200,OK,AddToCart 4-5,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,250,0,0
1650009673831,256,Cart-225,200,OK,AddToCart 4-4,text,true,,449,480,5,5,https://api.demoblaze.com/viewcart,256,0,0
1650009673831,256,Delete1-255,200,OK,AddToCart 4-2,text,true,,449,480,5,5,https://api.demoblaze.com/viewcart,256,0,0
1650009673782,305,Cart,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-4,,true,,6292,990,5,5,null,301,0,0
1650009673006,1078,Delete1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-2,,true,,6924,1937,5,5,null,1073,3,0
1650009673889,250,Delete1-237,200,OK,AddToCart 4-3,text,true,,449,482,5,5,https://api.demoblaze.com/deleteitem,250,0,0
1650009673890,249,PlaceOrder-329,200,OK,AddToCart 4-1,text,true,,449,482,5,5,https://api.demoblaze.com/deletecart,249,0,0
1650009674088,279,Delete1-237,200,OK,AddToCart 4-4,text,true,,449,482,5,5,https://api.demoblaze.com/deleteitem,279,0,0
1650009674088,282,PlaceOrder-329,200,OK,AddToCart 4-2,text,true,,449,482,5,5,https://api.demoblaze.com/deletecart,282,0,0
1650009674055,335,Item3-157,200,OK,AddToCart 4-5,text,true,,307,553,5,5,https://api.demoblaze.com/addtocart,335,0,0
1650009674139,273,Delete1-238,200,OK,AddToCart 4-3,text,true,,638,493,5,5,https://api.demoblaze.com/deleteitem,271,0,0
1650009674391,49,Item3-158,200,OK,AddToCart 4-5,text,true,,5141,517,5,5,https://www.demoblaze.com/index.html,46,0,0
1650009673553,884,Item3,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-5,,true,,11455,2068,5,5,null,879,3,0
1650009674139,326,PlaceOrder-330,200,OK,AddToCart 4-1,text,true,,316,468,5,5,https://api.demoblaze.com/deletecart,326,0,0
1650009673889,575,PlaceOrder,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-1,,true,,765,950,5,5,null,575,2,0
1650009674412,64,Delete1-239,200,OK,AddToCart 4-3,text,true,,24602,482,4,4,https://www.demoblaze.com/cart.html,46,0,0
1650009674441,49,Item4-184,200,OK,AddToCart 4-5,text,true,,5494,517,4,4,https://www.demoblaze.com/prod.html?idp_=9,45,0,0
1650009674368,272,Delete1-238,200,OK,AddToCart 4-4,text,true,,562,493,4,4,https://api.demoblaze.com/deleteitem,269,0,0
1650009674370,295,PlaceOrder-330,200,OK,AddToCart 4-2,text,true,,316,466,4,4,https://api.demoblaze.com/deletecart,295,0,0
